invoice_id,branch,city,Customer_type,Gender,Unit_Price,Product_line,Quantity,VAT,total,Date,Time,payment_method,Cogs,Gross_margin_percentage,Gross_income,Rating,time_of_day,Day,Month,Day_type
101-17-6199,A,Yangon,Normal,Male,45.79,"Food and beverages",7,16.0265,336.5565,"2019-03-13 00:00:00",19:44:00,"Credit card",320.530,4.761904716,16.0265,7.0,Evening,Wednesday,March,Weekday
101-81-4070,C,Naypyitaw,Member,Female,62.82,"Health and beauty",2,6.2820,131.9220,"2019-01-17 00:00:00",12:36:00,Ewallet,125.640,4.761904716,6.2820,4.9,Afternoon,Thursday,January,Weekday
102-06-2002,C,Naypyitaw,Member,Male,25.25,"Sports and travel",5,6.3125,132.5625,"2019-03-20 00:00:00",17:52:00,Cash,126.250,4.761904716,6.3125,6.1,Evening,Wednesday,March,Weekday
102-77-2261,C,Naypyitaw,Member,Male,65.31,"Health and beauty",7,22.8585,480.0285,"2019-03-05 00:00:00",18:02:00,"Credit card",457.170,4.761904716,22.8585,4.2,Evening,Tuesday,March,Weekday
105-10-6182,A,Yangon,Member,Male,21.48,"Fashion accessories",2,2.1480,45.1080,"2019-02-27 00:00:00",12:22:00,Ewallet,42.960,4.761904716,2.1480,6.6,Afternoon,Wednesday,February,Weekday
105-31-1824,A,Yangon,Member,Male,69.52,"Sports and travel",7,24.3320,510.9720,"2019-02-01 00:00:00",15:10:00,"Credit card",486.640,4.761904716,24.3320,8.5,Afternoon,Friday,February,Weekday
106-35-6779,A,Yangon,Member,Male,44.34,"Home and lifestyle",2,4.4340,93.1140,"2019-03-27 00:00:00",11:26:00,Cash,88.680,4.761904716,4.4340,5.8,Morning,Wednesday,March,Weekday
109-28-2512,B,Mandalay,Member,Female,97.61,"Fashion accessories",6,29.2830,614.9430,"2019-01-07 00:00:00",15:01:00,Ewallet,585.660,4.761904716,29.2830,9.9,Afternoon,Monday,January,Weekday
109-86-4363,B,Mandalay,Member,Female,60.08,"Sports and travel",7,21.0280,441.5880,"2019-02-14 00:00:00",11:36:00,"Credit card",420.560,4.761904716,21.0280,4.5,Morning,Thursday,February,Weekday
110-05-6330,C,Naypyitaw,Normal,Female,39.43,"Food and beverages",6,11.8290,248.4090,"2019-03-25 00:00:00",20:18:00,"Credit card",236.580,4.761904716,11.8290,9.4,Evening,Monday,March,Weekday
